Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
554,German Marquez\marquge01,24,COL,NL,12,5,0.706,4.76,28,28,0,1,1,0,174,174,96,92,29,35,0,175,5,1,14,721,109,4.06,1.201,9,1.5,1.8,9.1,5
829,Max Scherzer\scherma01,34,WSN,NL,11,7,0.611,2.92,27,27,0,0,0,0,172.1,144,59,56,18,33,2,243,7,0,0,693,157,2.45,1.027,7.5,0.9,1.7,12.7,7.36
516,Jon Lester*\lestejo01,35,CHC,NL,13,10,0.565,4.46,31,31,0,0,0,0,171.2,205,101,85,26,52,0,165,5,0,3,764,100,4.26,1.497,10.7,1.4,2.7,8.7,3.17
971,Adam Wainwright\wainwad01,37,STL,NL,14,10,0.583,4.19,31,31,0,0,0,0,171.2,181,83,80,22,64,7,153,8,0,2,745,102,4.36,1.427,9.5,1.2,3.4,8,2.39
726,Jose Quintana*\quintjo01,30,CHC,NL,13,9,0.591,4.68,32,31,0,0,0,0,171,191,100,89,20,46,0,152,2,0,11,745,95,3.8,1.386,10.1,1.1,2.4,8,3.3
637,Joe Musgrove\musgrjo01,26,PIT,NL,11,12,0.478,4.44,32,31,0,0,0,0,170.1,168,98,84,21,39,1,157,9,0,2,718,96,3.82,1.215,8.9,1.1,2.1,8.3,4.03
603,Wade Miley*\mileywa01,32,HOU,AL,14,6,0.7,3.98,33,33,0,0,0,0,167.1,164,83,74,23,61,0,140,5,2,4,720,116,4.51,1.345,8.8,1.2,3.3,7.5,2.3
221,Anthony DeSclafani\desclan01,29,CIN,NL,9,9,0.5,3.89,31,31,0,0,0,0,166.2,151,77,72,29,49,5,167,4,1,2,696,117,4.43,1.2,8.2,1.6,2.6,9,3.41
820,Anibal Sanchez\sanchan01,35,WSN,NL,11,8,0.579,3.85,30,30,0,0,0,0,166,153,77,71,22,58,10,134,4,3,1,712,119,4.44,1.271,8.3,1.2,3.1,7.3,2.31
312,Max Fried*\friedma01,25,ATL,NL,17,6,0.739,4.02,33,30,1,1,0,0,165.2,174,80,74,21,47,3,173,5,1,11,702,113,3.72,1.334,9.5,1.1,2.6,9.4,3.68
